un_no,psn,haz_class,sub_class,pg,nos,symbols
UN1088,Acetal,3,,II,N,
UN1089,Acetaldehyde,3,,I,N,
UN1841,Acetaldehyde ammonia,9,,III,N,A
UN2332,Acetaldehyde oxime,3,,III,N,
UN2789,"Acetic acid, glacial or Acetic acid solution, with more than 80 percent acid, by mass",8,3,II,N,
UN2790,"Acetic acid solution, not less than 50 percent but not more than 80 percent acid, by mass",8,,II,N,
UN2790,"Acetic acid solution, with more than 10 percent and less than 50 percent acid, by mass",8,,III,N,
UN1715,Acetic anhydride,8,3,II,N,
UN1090,Acetone,3,,II,N,
UN1541,"Acetone cyanohydrin, stabilized",6.1,,I,N,
UN1091,Acetone oils,3,,II,N,
UN1648,Acetonitrile,3,,II,N,
UN1716,Acetyl bromide,8,,II,N,
UN1717,Acetyl chloride,3,8,II,N,
UN1898,Acetyl iodide,8,,II,N,
UN2621,Acetyl methyl carbinol,3,,III,N,
UN1001,"Acetylene, dissolved",2.1,,,N,
UN2713,Acridine,6.1,,III,N,
UN2607,"Acrolein dimer, stabilized",3,,III,N,
UN1092,"Acrolein, stabilized",6.1,3,I,N,
UN2074,"Acrylamide, solid",6.1,,III,N,
UN3426,Acrylamide solution,6.1,,III,N,
UN2218,"Acrylic acid, stabilized",8,3,II,N,
UN1093,"Acrylonitrile, stabilized",3,6.1,I,N,
UN1133,"Adhesives, containing a flammable liquid",3,,I,N,
UN1133,"Adhesives, containing a flammable liquid",3,,II,N,
UN1133,"Adhesives, containing a flammable liquid",3,,III,N,
UN2205,Adiponitrile,6.1,,III,N,
UN3511,"Adsorbed gas, n.o.s",2.2,,,Y,G
UN3510,"Adsorbed gas, flammable, n.o.s",2.1,,,Y,G
UN3513,"Adsorbed gas, oxidizing, n.o.s",2.2,5.1,,Y,G
UN3512,"Adsorbed gas, toxic, n.o.s. Inhalation hazard zone A",2.3,,,Y,G
UN3512,"Adsorbed gas, toxic, n.o.s. Inhalation hazard zone B",2.3,,,Y,G
UN3512,"Adsorbed gas, toxic, n.o.s. Inhalation hazard zone C",2.3,,,Y,G
UN3512,"Adsorbed gas, toxic, n.o.s. Inhalation hazard zone D",2.3,,,Y,G
UN3516,"Adsorbed gas, toxic, corrosive, n.o.s. Inhalation hazard zone A",2.3,8,,Y,G
UN3516,"Adsorbed gas, toxic, corrosive, n.o.s. Inhalation hazard zone B",2.3,8,,Y,G
UN3516,"Adsorbed gas, toxic, corrosive, n.o.s. Inhalation hazard zone C",2.3,8,,Y,G
UN3516,"Adsorbed gas, toxic, corrosive, n.o.s. Inhalation hazard zone D",2.3,8,,Y,G
UN3514,"Adsorbed gas, toxic, flammable, n.o.s. Inhalation hazard zone A",2.3,2.1,,Y,G
UN3514,"Adsorbed gas, toxic, flammable, n.o.s. Inhalation hazard zone B",2.3,2.1,,Y,G
UN3514,"Adsorbed gas, toxic, flammable, n.o.s. Inhalation hazard zone C",2.3,2.1,,Y,G
UN3514,"Adsorbed gas, toxic, flammable, n.o.s. Inhalation hazard zone D",2.3,2.1,,Y,G
UN3517,"Adsorbed gas, toxic, flammable, corrosive, n.o.s. Inhalation hazard zone A",2.3,"2.1,8",,Y,G
UN3517,"Adsorbed gas, toxic, flammable, corrosive, n.o.s. Inhalation hazard zone B",2.3,"2.1,8",,Y,G
UN3517,"Adsorbed gas, toxic, flammable, corrosive, n.o.s. Inhalation hazard zone C",2.3,"2.1,8",,Y,G
UN3517,"Adsorbed gas, toxic, flammable, corrosive, n.o.s. Inhalation hazard zone D",2.3,"2.1,8",,Y,G
UN3515,"Adsorbed gas, toxic, oxidizing, n.o.s. Inhalation hazard zone A",2.3,5.1,,Y,G
UN3515,"Adsorbed gas, toxic, oxidizing, n.o.s. Inhalation hazard zone B",2.3,5.1,,Y,G
UN3515,"Adsorbed gas, toxic, oxidizing, n.o.s. Inhalation hazard zone C",2.3,5.1,,Y,G
UN3515,"Adsorbed gas, toxic, oxidizing, n.o.s. Inhalation hazard zone D",2.3,5.1,,Y,G
UN3518,"Adsorbed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation hazard zone A",2.3,"5.1,8",,Y,G
UN3518,"Adsorbed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation hazard zone B",2.3,"5.1,8",,Y,G
UN3518,"Adsorbed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation hazard zone C",2.3,"5.1,8",,Y,G
UN3518,"Adsorbed gas, toxic, oxidizing, corrosive, n.o.s. Inhalation hazard zone D",2.3,"5.1,8",,Y,G
UN1950,"Aerosols, corrosive, Packing Group II or III, (each not exceeding 1 L capacity)",2.2,8,,N,
UN1950,"Aerosols, flammable, (each not exceeding 1 L capacity)",2.1,,,N,
UN1950,"Aerosols, flammable, n.o.s. (engine starting fluid) (each not exceeding 1 L capacity)",2.1,,,Y,
UN1950,"Aerosols, non-flammable, (each not exceeding 1 L capacity)",2.2,,,N,
UN1950,"Aerosols, poison, Packing Group III (each not exceeding 1 L capacity)",2.2,6.1,,N,
UN1002,"Air, compressed",2.2,,,N,
UN1003,"Air, refrigerated liquid, (cryogenic liquid)",2.2,5.1,,N,
UN1003,"Air, refrigerated liquid, (cryogenic liquid) non-pressurized",2.2,5.1,,N,
UN3165,Aircraft hydraulic power unit fuel tank (containing a mixture of anhydrous hydrazine and monomethyl hydrazine) (M86 fuel),3,"6.1,8",I,N,
UN3274,"Alcoholates solution, n.o.s., in alcohol",3,8,II,Y,G
UN3065,Alcoholic beverages,3,,II,N,
UN3065,Alcoholic beverages,3,,III,N,
UN1987,"Alcohols, n.o.s.",3,,I,Y,
UN1987,"Alcohols, n.o.s.",3,,II,Y,
UN1987,"Alcohols, n.o.s.",3,,III,Y,
UN1986,"Alcohols, flammable, toxic n.o.s",3,6.1,I,Y,G
UN1986,"Alcohols, flammable, toxic n.o.s",3,6.1,II,Y,G
UN1986,"Alcohols, flammable, toxic n.o.s",3,6.1,III,Y,G
UN1989,"Aldehydes, n.o.s.",3,,I,Y,
UN1989,"Aldehydes, n.o.s.",3,,II,Y,
UN1989,"Aldehydes, n.o.s.",3,,III,Y,
UN1988,"Aldehydes, flammable, toxic, n.o.s.",3,6.1,I,Y,G
UN1988,"Aldehydes, flammable, toxic, n.o.s.",3,6.1,II,Y,G
UN1988,"Aldehydes, flammable, toxic, n.o.s.",3,6.1,III,Y,G
UN2839,Aldol,6.1,,II,N,
UN3206,"Alkali metal alcoholates, self-heating, corrosive, n.o.s.",4.2,8,II,Y,G
UN3206,"Alkali metal alcoholates, self-heating, corrosive, n.o.s.",4.2,8,III,Y,G
UN1421,"Alkali metal alloys, liquid, n.o.s",4.3,,I,Y,
UN1389,"Alkali metal amalgam, liquid",4.3,,I,N,
UN3401,"Alkali metal amalgam, solid",4.3,,I,N,
UN1390,Alkali metal amides,4.3,,II,N,
UN3482,"Alkali metal dispersions, flammable or Alkaline earth metal dispersions, flammable",4.3,3,I,N,
UN1391,"Alkali metal dispersions, or Alkaline earth metal dispersions",4.3,,I,N,
UN3205,"Alkaline earth metal alcoholates, n.o.s",4.2,,II,Y,G
UN3205,"Alkaline earth metal alcoholates, n.o.s",4.2,,III,Y,G
UN1393,"Alkaline earth metal alloys, n.o.s",4.3,,II,Y,
UN1392,"Alkaline earth metal amalgams, liquid",4.3,,I,N,
UN3402,"Alkaline earth metal amalgams, solid",4.3,,I,N,
UN3140,"Alkaloids, liquid, n.o.s., or Alkaloid salts, liquid, n.o.s.",6.1,,I,Y,G
UN3140,"Alkaloids, liquid, n.o.s., or Alkaloid salts, liquid, n.o.s.",6.1,,II,Y,G
UN3140,"Alkaloids, liquid, n.o.s., or Alkaloid salts, liquid, n.o.s.",6.1,,III,Y,G
UN1544,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1,,I,Y,G
UN1544,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1,,II,Y,G
UN1544,"Alkaloids, solid, n.o.s. or Alkaloid salts, solid, n.o.s. poisonous",6.1,,III,Y,G
UN2584,"Alkyl sulfonic acids, liquid or Aryl sulfonic acids, liquid with more than 5 percent free sulfuric acid",8,,II,N,
UN2586,"Alkyl sulfonic acids, liquid or Aryl sulfonic acids, liquid with not more than 5 percent free sulfuric acid",8,,III,N,
UN2583,"Alkyl sulfonic acids, solid or Aryl sulfonic acids, solid, with more than 5 percent free sulfuric acid",8,,II,N,
UN2585,"Alkyl sulfonic acids, solid or Aryl sulfonic acids, solid with not more than 5 percent free sulfuric acid",8,,III,N,
UN3145,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",8,,I,Y,
UN3145,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",8,,II,Y,
UN3145,"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",8,,III,Y,
UN2430,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",8,,I,Y,
UN2430,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",8,,II,Y,
UN2430,"Alkylphenols, solid, n.o.s. (including C2-C12 homologues)",8,,III,Y,
UN2571,Alkylsulfuric acids,8,,II,N,
UN2333,Allyl acetate,3,6.1,II,N,
UN1098,Allyl alcohol,6.1,3,I,N,
UN1099,Allyl bromide,3,6.1,I,N,
UN1100,Allyl chloride,3,6.1,I,N,
UN1722,Allyl chloroformate,6.1,"3,8",I,N,
UN2335,Allyl ethyl ether,3,6.1,II,N,
UN2336,Allyl formate,3,6.1,I,N,
UN2219,Allyl glycidyl ether,3,,III,N,
UN1723,Allyl iodide,3,8,II,N,
UN1545,"Allyl isothiocyanate, stabilized",6.1,3,II,N,
UN2334,Allylamine,6.1,3,I,N,
UN1724,"Allyltrichlorosilane, stabilized",8,3,II,N,
UN2870,Aluminum borohydride or Aluminum borohydride in devices,4.2,4.3,I,N,
UN1725,"Aluminum bromide, anhydrous",8,,II,N,
UN2580,"Aluminum bromide, solution",8,,III,N,
UN1394,Aluminum carbide,4.3,,II,N,
UN1726,"Aluminum chloride, anhydrous",8,,II,N,
UN2581,"Aluminum chloride, solution",8,,III,N,
UN1395,Aluminum ferrosilicon powder,4.3,6.1,II,N,
UN1395,Aluminum ferrosilicon powder,4.3,6.1,III,N,
UN2463,Aluminum hydride,4.3,,I,N,
NA9260,"Aluminum, molten",9,,III,N,D
UN1438,Aluminum nitrate,5.1,,III,N,
UN1397,Aluminum phosphide,4.3,6.1,I,N,
UN3048,Aluminum phosphide pesticides,6.1,,I,N,
UN1309,"Aluminum powder, coated",4.1,,II,N,
UN1309,"Aluminum powder, coated",4.1,,III,N,
UN1396,"Aluminum powder, uncoated",4.3,,II,N,
UN1396,"Aluminum powder, uncoated",4.3,,III,N,
UN2715,Aluminum resinate,4.1,,III,N,
UN1398,"Aluminum silicon powder, uncoated",4.3,,III,N,
UN3170,Aluminum smelting by-products or Aluminum remelting by-products,4.3,,II,N,
UN3170,Aluminum smelting by-products or Aluminum remelting by-products,4.3,,III,N,
UN2733,"Amine, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s",3,8,I,Y,G
UN2733,"Amine, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s",3,8,II,Y,G
UN2733,"Amine, flammable, corrosive, n.o.s. or Polyamines, flammable, corrosive, n.o.s",3,8,III,Y,G
UN2734,"Amine, liquid, corrosive, flammable, n.o.s. or Polyamines, liquid, corrosive, flammable, n.o.s.",8,3,I,Y,G
UN2734,"Amine, liquid, corrosive, flammable, n.o.s. or Polyamines, liquid, corrosive, flammable, n.o.s.",8,3,II,Y,G
UN2735,"Amines, liquid, corrosive, n.o.s. or Polyamines, liquid, corrosive, n.o.s",8,,I,Y,G
UN2735,"Amines, liquid, corrosive, n.o.s. or Polyamines, liquid, corrosive, n.o.s",8,,II,Y,G
UN2735,"Amines, liquid, corrosive, n.o.s. or Polyamines, liquid, corrosive, n.o.s",8,,III,Y,G
UN3259,"Amines, solid, corrosive, n.o.s., or Polyamines, solid, corrosive n.o.s.",8,,I,Y,G
UN3259,"Amines, solid, corrosive, n.o.s., or Polyamines, solid, corrosive n.o.s.",8,,II,Y,G
UN3259,"Amines, solid, corrosive, n.o.s., or Polyamines, solid, corrosive n.o.s.",8,,III,Y,G
UN2673,2-Amino-4-chlorophenol,6.1,,II,N,
UN2946,2-Amino-5-diethylaminopentane,6.1,,III,N,
UN3317,"2-Amino-4,6-Dinitrophenol, wetted with not less than 20 percent water by mass",4.1,,I,N,
UN3055,2-(2-Aminoethoxy) ethanol,8,,III,N,
UN2815,N-Aminoethylpiperazine,8,6.1,III,N,
UN2512,Aminophenols (o-; m-; p-),6.1,,III,N,+
UN2671,Aminopyridines (o-; m-; p-),6.1,,II,N,
UN1005,"Ammonia, anhydrous",2.3,8,,N,I
UN1005,"Ammonia, anhydrous",2.2,,,N,D
UN2073,"Ammonia solution, relative density less than 0.880 at 15 degrees C in water, with more than 35 percent but not more than 50 percent ammonia",2.2,,,N,
UN2672,"Ammonia solution, relative density between 0.880 and 0.957 at 15 degrees C in water, with more than 10 percent but not more than 35 percent ammonia",8,,III,N,
UN3318,"Ammonia solution, relative density less than 0.880 at 15 degrees C in water, with more than 50 percent ammonia",2.3,8,,N,I
UN3318,"Ammonia solution, relative density less than 0.880 at 15 degrees C in water, with more than 50 percent ammonia",2.2,,,N,D
UN1546,Ammonium arsenate,6.1,,II,N,
UN1439,Ammonium dichromate,5.1,,II,N,
UN1843,"Ammonium dinitro-o-cresolate, solid",6.1,,II,N,
UN3424,Ammonium dinitro-o-cresolate solution,6.1,,II,N,
UN3424,Ammonium dinitro-o-cresolate solution,6.1,,III,N,
UN2505,Ammonium fluoride,6.1,,III,N,
UN2854,Ammonium fluorosilicate,6.1,,III,N,
UN2506,Ammonium hydrogen sulfate,8,,II,N,
UN1727,"Ammonium hydrogendifluoride, solid",8,,II,N,
UN2817,"Ammonium hydrogendifluoride, solution",8,6.1,II,N,
UN2817,"Ammonium hydrogendifluoride, solution",8,6.1,III,N,
UN2859,Ammonium metavanadate,6.1,,II,N,
UN2067,Ammonium nitrate based fertilizer,5.1,,III,N,
UN2071,Ammonium nitrate based fertilizer,9,,III,N,A W
UN3375,"Ammonium nitrate emulsion or Ammonium nitrate suspension or Ammonium nitrate gel, intermediate for blasting explosives",5.1,,II,N,
NA0331,Ammonium nitrate-fuel oil mixture containing only prilled ammonium nitrate and fuel oil,1.5D,,,N,
UN2426,"Ammonium nitrate, liquid (hot concentrated solution)",5.1,,,N,
UN0222,"Ammonium nitrate, with more than 0.2 percent combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",1.1D,,,N,
UN1942,"Ammonium nitrate, with not more than 0.2% combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance",5.1,,III,N,
UN0402,Ammonium perchlorate,1.1D,,,N,
UN1442,Ammonium perchlorate,5.1,,II,N,
UN1444,Ammonium persulfate,5.1,,III,N,
UN0004,"Ammonium picrate, dry or wetted with less than 10 percent water, by mass",1.1D,,,N,
UN1310,"Ammonium picrate, wetted with not less than 10 percent water, by mass",4.1,,I,N,
UN2818,"Ammonium polysulfide, solution",8,6.1,II,N,
UN2818,"Ammonium polysulfide, solution",8,6.1,III,N,
UN2861,Ammonium polyvanadate,6.1,,II,N,
UN2683,Ammonium sulfide solution,8,"6.1,3",II,N,
UN0171,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.2G,,,N,
UN0254,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.3G,,,N,
UN0297,"Ammunition, illuminating with or without burster, expelling charge or propelling charge",1.4G,,,N,
UN0247,"Ammunition, incendiary liquid or gel, with burster, expelling charge or propelling charge",1.3J,,,N,
UN0243,"Ammunition, incendiary, white phosphorus, with burster, expelling charge or propelling charge",1.2H,,,N,
UN0244,"Ammunition, incendiary, white phosphorus, with burster, expelling charge or propelling charge",1.3H,,,N,
UN0009,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",1.2G,,,N,
UN0010,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge",1.3G,,,N,
UN0300,"Ammunition, incendiary with or without burster, expelling charge or propelling charge",1.4G,,,N,
UN0362,"Ammunition, practice",1.4G,,,N,
UN0488,"Ammunition, practice",1.3G,,,N,
UN0363,"Ammunition, proof",1.4G,,,N,
UN0245,"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge",1.2H,,,N,
UN0246,"Ammunition, smoke, white phosphorus with burster, expelling charge, or propelling charge",1.3H,,,N,
UN0015,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.2G,,,N,
UN0016,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.3G,,,N,
UN0303,"Ammunition, smoke with or without burster, expelling charge or propelling charge",1.4G,,,N,
UN2017,"Ammunition, tear-producing, non-explosive, without burster or expelling charge, non-fuzed",6.1,8,,N,
UN0018,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.2G,"8,6.1",,N,
UN0019,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.3G,"8,6.1",,N,
UN0301,"Ammunition, tear-producing with burster, expelling charge or propelling charge",1.4G,"8,6.1",,N,
UN2016,"Ammunition, toxic, non-explosive, without burster or expelling charge, non-fuzed",6.1,,,N,
UN0020,"Ammunition, toxic with burster, expelling charge, or propelling charge",1.2K,6.1,,N,G
UN0021,"Ammunition, toxic with burster, expelling charge, or propelling charge",1.3K,6.1,,N,G
UN1104,Amyl acetates,3,,III,N,
